sequence,split,step,time_s,x,z,rel_goal_x,rel_goal_z,nearest_obs_x,nearest_obs_z,vel_x,vel_z,clearance_m,obstacle_count,action_dx,action_dz,safe_sample,future_risk
3,train,0,0.0,3.8808839999999996,1.604545,-6.838747024536133,0.029093999415636063,-4.640374183654785,0.7119550108909607,0.0,0.0,4.494672775268555,1.0,-0.13982466456866582,-0.007166318335118715,1,0
3,train,1,0.1821,3.7410593354313337,1.5973786816648814,-6.698922157287598,0.036260318011045456,-4.50054931640625,0.7191213369369507,-0.7676648497581482,-0.03934449329972267,4.357639789581299,1.0,-0.13982466456866582,-0.0071663183351189375,1,0
3,train,2,0.3643,3.601234670862668,1.5902123633297625,-6.559097766876221,0.04342663660645485,-4.360724449157715,0.7262876629829407,-0.7676648497581482,-0.03934449329972267,4.2207932472229,1.0,-0.13982466456866627,-0.0071663183351189375,1,0
3,train,3,0.5464,3.4614100062940016,1.5830460449946435,-6.4192728996276855,0.05059295520186424,-4.220900058746338,0.7334539294242859,-0.7676648497581482,-0.03934449329972267,4.084151268005371,1.0,-0.13982466456866538,-0.0071663183351189375,1,0
3,train,4,0.7286,3.3215853417253363,1.5758797266595246,-6.279448509216309,0.057759273797273636,-4.081075191497803,0.7406202554702759,-0.7676648497581482,-0.03934449329972267,3.9477336406707764,1.0,-0.13982466456866582,-0.007166318335118715,1,0
3,train,5,0.9107,3.1817606771566704,1.5687134083244059,-6.139623641967773,0.06492558866739273,-3.9412505626678467,0.7477865815162659,-0.7676648497581482,-0.03934449329972267,3.811563491821289,1.0,-0.13982466456866627,-0.0071663183351191595,1,0
3,train,6,1.0929,3.041936012588004,1.5615470899892867,-5.999798774719238,0.07209190726280212,-3.8014259338378906,0.7549529075622559,-0.7676648497581482,-0.03934449329972267,3.6756668090820312,1.0,-0.13982466456866582,-0.007166318335118715,1,0
3,train,7,1.275,2.9021113480193383,1.554380771654168,-5.859974384307861,0.07925822585821152,-3.6616013050079346,0.7621192336082458,-0.7676648497581482,-0.03934449329972267,3.5400736331939697,1.0,-0.13982466456866582,-0.0071663183351189375,1,0
3,train,8,1.4571,2.7622866834506725,1.547214453319049,-5.720149517059326,0.08642454445362091,-3.5217766761779785,0.7692855596542358,-0.7676648497581482,-0.03934449329972267,3.404817819595337,1.0,-0.13982466456866582,-0.007166318335118715,1,0
3,train,9,1.6393,2.6224620188820067,1.5400481349839303,-5.580325126647949,0.0935908630490303,-3.3819520473480225,0.7764518857002258,-0.7676648497581482,-0.03934449329972267,3.2699389457702637,1.0,-0.13982466456866582,-0.0071663183351189375,1,0
3,train,10,1.8214,2.482637354313341,1.5328818166488114,-5.440500259399414,0.1007571816444397,-3.2421274185180664,0.7836182117462158,-0.7676648497581482,-0.03934449329972267,3.1354830265045166,1.0,-0.13982466456866582,-0.0071663183351189375,1,0
3,train,11,2.0036,2.342812689744675,1.5257154983136925,-5.300675868988037,0.10792350023984909,-3.1023027896881104,0.790784478187561,-0.7676648497581482,-0.03934449329972267,3.0015029907226562,1.0,-0.13982466456866582,-0.0071663183351189375,1,0
3,train,12,2.1857,2.2029880251760092,1.5185491799785735,-5.160851001739502,0.11508981883525848,-2.962477922439575,0.797950804233551,-0.7676648497581482,-0.03934449329972267,2.8680615425109863,1.0,-0.13982466456866582,-0.007166318335118715,1,0
3,train,13,2.3679,2.0631633606073434,1.5113828616434548,-5.021026134490967,0.12225613743066788,-2.822653293609619,0.805117130279541,-0.7676648497581482,-0.03934449329972267,2.735231876373291,1.0,-0.13982466456866605,-0.007166318335118715,1,0
3,train,14,2.55,1.9233386960386774,1.504216543308336,-4.88120174407959,0.12942245602607727,-2.682828664779663,0.812283456325531,-0.7676648497581482,-0.03934449329972267,2.6031007766723633,1.0,-0.13982466456866582,-0.0071663183351191595,1,0
3,train,15,2.7321,1.7835140314700115,1.497050224973217,-4.741376876831055,0.13658878207206726,-2.543004035949707,0.819449782371521,-0.7676648497581482,-0.03934449329972267,2.4717724323272705,1.0,-0.13982466456866582,-0.0071663183351189375,1,0
3,train,16,2.9143,1.6436893669013457,1.489883906638098,-4.601552486419678,0.14375509321689606,-2.403179407119751,0.826616108417511,-0.7676648497581482,-0.03934449329972267,2.3413708209991455,1.0,-0.13982466456866605,-0.007166318335118715,1,0
3,train,17,3.0964,1.5038647023326797,1.4827175883029793,-4.461727619171143,0.15092140436172485,-2.263354778289795,0.833782434463501,-0.7676648497581482,-0.03934449329972267,2.2120463848114014,1.0,-0.13982466456866605,-0.007166318335118715,1,0
3,train,18,3.2786,1.3640400377640136,1.4755512699678606,-4.321903228759766,0.15808773040771484,-2.123530149459839,0.8409487009048462,-0.7676648497581482,-0.03934449329972267,2.083982229232788,1.0,-0.1398246645686656,-0.0071663183351189375,1,0
3,train,19,3.4607,1.224215373195348,1.4683849516327416,-4.1820783615112305,0.16525404155254364,-1.9837054014205933,0.8481150269508362,-0.7676648497581482,-0.03934449329972267,1.9574025869369507,1.0,-0.13982466456866605,-0.0071663183351189375,1,0
3,train,20,3.6429,1.084390708626682,1.4612186332976227,-4.042253494262695,0.17242036759853363,-1.8438806533813477,0.8552813529968262,-0.7676648497581482,-0.03934449329972267,1.832585096359253,1.0,-0.13982466456866582,-0.0071663183351189375,1,0
3,train,21,3.825,0.9445660440580161,1.4540523149625038,-3.9024291038513184,0.17958667874336243,-1.7040560245513916,0.8624476790428162,-0.7676648497581482,-0.03934449329972267,1.7098751068115234,1.0,-0.1398246645686656,-0.007166318335118715,1,0
3,train,22,4.0071,0.8047413794893505,1.446885996627385,-3.7626044750213623,0.18675300478935242,-1.5642313957214355,0.8696140050888062,-0.7676648497581482,-0.03934449329972267,1.5897061824798584,1.0,-0.13982466456866594,-0.0071663183351189375,1,0
3,train,23,4.1893,0.6649167149206846,1.439719678292266,-3.622779607772827,0.1939193159341812,-1.4244067668914795,0.8767803311347961,-0.7676648497581482,-0.03934449329972267,1.4726260900497437,1.0,-0.13982466456866594,-0.007166318335118715,1,1
3,train,24,4.3714,0.5250920503520187,1.4325533599571474,-3.482954978942871,0.2010856419801712,-1.2845820188522339,0.8839466571807861,-0.7676648497581482,-0.03934449329972267,1.3593308925628662,1.0,-0.13982466456866605,-0.0071663183351191595,1,1
3,train,25,4.5536,0.3852673857833526,1.4253870416220282,-3.343130350112915,0.208251953125,-1.1447573900222778,0.8911129832267761,-0.7676648497581482,-0.03934449329972267,1.2507073879241943,1.0,-0.13982466456866605,-0.007166318335118715,1,1
3,train,26,4.7357,0.24544272121468658,1.4182207232869095,-3.203305721282959,0.21541827917099,-1.0049327611923218,0.8982792496681213,-0.7676648497581482,-0.03934449329972267,1.1478855609893799,1.0,-0.13982466456866552,-0.007166318335118715,1,1
3,train,27,4.9179,0.10561805664602106,1.4110544049517908,-3.063481092453003,0.2225845903158188,-0.865108072757721,0.9054455757141113,-0.7676648497581482,-0.03934449329972267,1.0522953271865845,1.0,-0.13982466456866588,-0.007166318335118715,1,1
3,train,28,5.1,-0.034206607922644836,1.403888086616672,-2.923656463623047,0.22975091636180878,-0.7252833843231201,0.9126119017601013,-0.7676648497581482,-0.03934449329972267,0.9657171368598938,1.0,-0.1398246645686657,-0.0071663183351189375,1,1
3,train,29,5.2821,-0.17403127249131056,1.3967217682815531,-2.783831834793091,0.23691722750663757,-0.5854587554931641,0.9197782278060913,-0.7676648497581482,-0.03934449329972267,0.890299916267395,1.0,-0.13982466456866555,-0.0071663183351191595,1,1
3,train,30,5.4643,-0.3138559370599761,1.389555449946434,-2.6440069675445557,0.24408355355262756,-0.44563406705856323,0.9269445538520813,-0.7676648497581482,-0.03934449329972267,0.8285017609596252,1.0,-0.13982466456866627,-0.007166318335118715,1,1
3,train,31,5.6464,-0.4536806016286424,1.3823891316113153,-2.5041823387145996,0.25124987959861755,-0.3058094084262848,0.9341108798980713,-0.7676648497581482,-0.03934449329972267,0.7828949689865112,1.0,-0.13982466456866555,-0.0071663183351189375,1,1
3,train,32,5.8286,-0.5935052661973079,1.3752228132761963,-2.3643577098846436,0.25841617584228516,-0.16598473489284515,0.9412772059440613,-0.7676648497581482,-0.03934449329972267,0.7558000087738037,1.0,-0.13983585220757688,-0.002661996464150329,1,1
3,train,33,6.0107,-0.7333411184048848,1.372560816812046,-2.2245218753814697,0.2610781788825989,-0.026148881763219833,0.943939208984375,-0.7677262425422668,-0.014614882878959179,0.7443013191223145,1.0,-0.13978988633444578,0.007290044209780966,1,1
3,train,34,6.1929,-0.8731310047393306,1.379850861021827,-2.0847320556640625,0.25378814339637756,0.11364100128412247,0.9366491436958313,-0.7674738764762878,0.04002377390861511,0.7435178160667419,1.0,-0.1389821330173775,0.01691920926521151,1,1
3,train,35,6.375,-1.012113137756708,1.3967700702870385,-1.9457498788833618,0.2368689328432083,0.25262314081192017,0.9197299480438232,-0.7630391716957092,0.09288977831602097,0.7537932395935059,1.0,-0.1389821330173786,0.01691920926521151,1,1
3,train,36,6.5571,-1.1510952707740867,1.41368927955225,-1.8067677021026611,0.21994972229003906,0.3916052579879761,0.9028106927871704,-0.7630391716957092,0.09288977831602097,0.7840842604637146,1.0,-0.13898213301737772,0.01691920926521151,1,1
3,train,37,6.7393,-1.2900774037914644,1.4306084888174615,-1.66778564453125,0.2030305117368698,0.530587375164032,0.8858914971351624,-0.7630391716957092,0.09288977831602097,0.83263099193573,1.0,-0.13898213301737772,0.01691920926521151,1,0
