sequence,obstacles,ready,has_optitrack,has_rgb_video,has_radar,has_imu,optitrack_bytes,rgb_video_bytes,radar_bytes,imu_bytes
3,1,1,1,1,1,1,67176,59739340,21589094,414768
10,1,1,1,1,1,1,112093,64119136,34939960,724918
1,1,1,1,1,1,1,93991,50868396,29196103,599829
2,1,1,1,1,1,1,74090,65929276,23763159,472013
4,1,1,1,1,1,1,112050,97904828,36018576,711889
5,1,1,1,1,1,1,89880,79300438,29048957,539339
6,1,1,1,1,1,1,88488,72775856,28092772,569593
7,1,1,1,1,1,1,60622,46222470,18467326,359207
8,1,1,1,1,1,1,84679,43227900,25940181,530480
9,1,1,1,1,1,1,77809,39967270,10874345,214615
11,1,1,1,1,1,1,114875,62456222,35718299,716728
12,1,1,1,1,1,1,65584,37331290,20499293,398378
13,1,1,1,1,1,1,85534,45564752,25943746,499227
14,1,1,1,1,1,1,75997,42944222,23763610,491089
15,1,1,1,1,1,1,42507,20570954,13663044,271798
16,1,1,1,1,1,1,84817,49786478,27015763,536863
17,1,1,1,1,1,1,71746,41345168,22826953,499581
18,1,1,1,1,1,1,69691,37074052,22053508,467092
19,1,1,1,1,1,1,78750,42079184,24532442,525641
20,1,1,1,1,1,1,80512,45768672,24380258,493083
21,1,1,1,1,1,1,82605,46415672,25322411,500940
22,1,1,1,1,1,1,80768,43770460,24531190,488030
23,1,1,1,1,1,1,105331,56402052,31844243,643565
24,1,1,1,1,1,1,99618,53015122,29509259,598516
25,1,1,1,1,1,1,93073,50216014,28266263,582332
26,1,1,1,1,1,1,65994,52158258,20491064,405219
27,1,1,1,1,1,1,65807,53389562,20340233,399206
28,1,1,1,1,1,1,89978,72949892,28572204,556750
29,1,1,1,1,1,1,115466,95414490,36338505,739049
30,1,1,1,1,1,1,75965,64728768,24073229,475780
31,1,1,1,1,1,1,67637,57618618,21436612,411789
32,1,1,1,1,1,1,82591,47255318,25778834,528099
33,1,1,1,1,1,1,82402,46465762,25468489,528478
34,1,1,1,1,1,1,89144,49733264,27951640,568190
35,1,1,1,1,1,1,95158,53912034,29655510,609757
36,1,1,1,1,1,1,89603,50033600,27799257,597496
37,1,1,1,1,1,1,90915,51921290,27802399,604203
38,1,1,1,1,1,1,90669,48877784,27953048,655252
39,1,1,1,1,1,1,87015,46476460,27486660,593483
40,1,1,1,1,1,1,92230,51161422,29022959,630751
41,1,1,1,1,1,1,82958,44567916,25621778,556350
42,1,1,1,1,1,1,90430,49305312,28095967,623693
43,1,1,1,1,1,1,68731,38505804,21419930,481202
44,1,1,1,1,1,1,53282,30300948,15838526,340014
45,1,1,1,1,1,1,71752,36444060,22363089,475388
46,1,1,1,1,1,1,54469,29060932,16617547,355579
47,1,1,1,1,1,1,86937,48226254,26716743,574937
48,1,1,1,1,1,1,68875,32716100,20186376,437761
49,1,1,1,1,1,1,58334,30488408,18168744,393544
50,1,1,1,1,1,1,52220,41379174,16618000,363756
51,1,1,1,1,1,1,49866,38571260,14908035,307239
52,1,1,1,1,1,1,61156,48771026,19413806,368931
53,1,1,1,1,1,1,73766,57187714,22830094,467417
54,1,1,1,1,1,1,60638,50133090,19099133,357170
55,1,1,1,1,1,1,63981,53487902,20031972,375795
56,1,1,1,1,1,1,57769,31071598,15796884,358653
57,1,1,1,1,1,1,68960,37645582,21434689,429204
58,1,1,1,1,1,1,87328,48550160,27332475,552684
59,1,1,1,1,1,1,80896,42227780,24851060,493463
60,1,1,1,1,1,1,63733,34875630,19875283,400658
61,1,1,1,1,1,1,65368,37635872,20653332,404809
62,1,1,1,1,1,1,71036,35723810,22356283,465052
63,1,1,1,1,1,1,72576,39731336,23138140,483531
64,1,1,1,1,1,1,87263,46995968,27329454,547029
65,1,1,1,1,1,1,65068,31541992,20180957,401853
66,1,1,1,1,1,1,62240,32370904,19713709,413013
67,1,1,1,1,1,1,80875,37625784,24985913,531406
116,1,1,1,1,1,1,80541,54417980,25774568,498049
117,1,1,1,1,1,1,94459,60768646,29960180,585873
118,1,1,1,1,1,1,115972,70443280,36795844,731830
119,1,1,1,1,1,1,79052,45845912,25440425,501398
120,1,1,1,1,1,1,66127,38315944,21402361,419383
121,1,1,1,1,1,1,57934,34048522,18781854,375911
122,1,1,1,1,1,1,95550,60572480,31056102,598388
123,1,1,1,1,1,1,96529,59894442,31045457,598240
124,1,1,1,1,1,1,74403,43940816,24052922,464710
125,1,1,1,1,1,1,73481,44067244,23895406,449426
126,1,1,1,1,1,1,65049,36661780,21092864,415409
127,1,1,1,1,1,1,109578,107156522,36338833,666998
128,1,1,1,1,1,1,77046,73782996,26088013,482644
129,1,1,1,1,1,1,105051,95908844,35075853,649798
130,1,1,1,1,1,1,84296,76770384,27938743,510441
131,1,1,1,1,1,1,86792,50838792,28866185,584529
132,1,1,1,1,1,1,90442,52599308,30116968,656003
133,1,1,1,1,1,1,77991,46688638,26082141,592671
134,1,1,1,1,1,1,73906,42550918,24373673,548545
135,1,1,1,1,1,1,94458,72601214,30426471,589693
136,1,1,1,1,1,1,107218,84265234,34761284,669701
137,1,1,1,1,1,1,78550,55499162,25150619,507690
138,1,1,1,1,1,1,86353,61596668,27794171,543686
139,1,1,1,1,1,1,66842,52825718,21427288,406741
140,1,1,1,1,1,1,113188,61043444,36337331,728694
141,1,1,1,1,1,1,123072,64807482,39272882,787725
142,1,1,1,1,1,1,88475,49862070,28547227,573118
143,1,1,1,1,1,1,68798,39879246,7948247,14047
144,1,1,1,1,1,1,66729,38437816,21246106,421380
145,1,1,1,1,1,1,82580,83065374,27474246,491098
146,1,1,1,1,1,1,117186,113696150,38808560,710805
147,1,1,1,1,1,1,75061,71188860,25151594,501498
148,1,1,1,1,1,1,80201,74506940,26395461,511313
149,1,1,1,1,1,1,69879,69626142,23441448,475649
150,1,1,1,1,1,1,63455,36000152,21111399,455296
151,1,1,1,1,1,1,81390,48995874,27479368,611896
152,1,1,1,1,1,1,67491,40385186,22352168,489594
153,1,1,1,1,1,1,59605,33135428,19874785,423385
154,1,1,1,1,1,1,69489,38897590,22523315,462213
155,1,1,1,1,1,1,70007,40837378,22829596,499115
156,1,1,1,1,1,1,74005,41799018,24386582,534985
157,1,1,1,1,1,1,71721,42329708,23918118,524016
158,1,1,1,1,1,1,58337,36277318,19416236,391425
159,1,1,1,1,1,1,94052,69115754,31070917,620413
160,1,1,1,1,1,1,91412,57632456,29510230,554501
161,1,1,1,1,1,1,115555,93120088,37897916,677078
162,1,1,1,1,1,1,131418,97598382,41465552,732804
163,1,1,1,1,1,1,64658,50853826,20192141,358792
164,1,1,1,1,1,1,69275,59916646,22673965,396928
165,1,1,1,1,1,1,99315,82260762,31066044,548071
166,1,1,1,1,1,1,112064,91958066,35869606,644451
167,1,1,1,1,1,1,56471,43610800,18480449,340226
168,1,1,1,1,1,1,60026,49860308,376266,340913
169,1,1,1,1,1,1,74055,69357038,24994444,446420
170,1,1,1,1,1,1,73825,69453232,24530207,432737
171,1,1,1,1,1,1,70175,63504140,23602001,428906
172,1,1,1,1,1,1,78992,73197218,26867513,485006
173,1,1,1,1,1,1,64014,58260552,21117442,392993
174,1,1,1,1,1,1,99688,89015226,32288659,588371
175,1,1,1,1,1,1,102368,94556194,32911111,572096
176,1,1,1,1,1,1,79854,78255482,26380498,457981
177,1,1,1,1,1,1,86907,81488156,28404665,505833
178,1,1,1,1,1,1,66920,65314648,22962432,406008
179,1,1,1,1,1,1,93481,51623680,29511856,565223
180,1,1,1,1,1,1,92501,50506482,28578150,550046
181,1,1,1,1,1,1,87016,48513676,27486422,523756
182,1,1,1,1,1,1,84653,47486820,27329798,524408
183,1,1,1,1,1,1,65700,36777638,20495331,407557
406,1,1,1,1,1,1,246016,50959172,27641020,532557
407,1,1,1,1,1,1,248688,50105262,28259510,564671
408,1,1,1,1,1,1,201913,40728922,22982703,430452
409,1,1,1,1,1,1,295580,58846346,33843768,696356
410,1,1,1,1,1,1,182303,36770106,20802618,425362
411,1,1,1,1,1,1,273391,75651258,32290112,619889
412,1,1,1,1,1,1,220503,59700828,25923368,500678
413,1,1,1,1,1,1,196926,49467410,23289297,451571
414,1,1,1,1,1,1,199855,51416288,23759504,467564
415,1,1,1,1,1,1,178751,46976490,20960952,410990
416,1,1,1,1,1,1,230553,53994932,26867396,522365
417,1,1,1,1,1,1,243922,58518602,27802367,549784
418,1,1,1,1,1,1,544637,102793362,52475843,1236126
419,1,1,1,1,1,1,260946,55997614,29824801,580929
420,1,1,1,1,1,1,205611,43293252,24223686,490231
345,2,1,1,1,1,1,96465,50216320,29824818,584292
184,2,1,1,1,1,1,69362,45573344,23444955,461890
185,2,1,1,1,1,1,85567,56955018,28724494,590688
186,2,1,1,1,1,1,82936,56021460,28089811,581423
187,2,1,1,1,1,1,75528,50931058,25763813,521725
188,2,1,1,1,1,1,85697,56360278,28272374,565821
189,2,1,1,1,1,1,83678,73021074,28725977,568688
190,2,1,1,1,1,1,76202,65100366,26081021,515037
191,2,1,1,1,1,1,58596,44228920,19868215,376526
192,2,1,1,1,1,1,72018,58768030,24982813,480059
193,2,1,1,1,1,1,58291,46357084,20018517,382139
194,2,1,1,1,1,1,64661,64088842,22663394,411038
195,2,1,1,1,1,1,72720,71148194,25150974,466189
196,2,1,1,1,1,1,66421,68717192,23291787,423643
197,2,1,1,1,1,1,74736,76718702,26076965,489355
198,2,1,1,1,1,1,74934,74422258,26102358,500047
199,2,1,1,1,1,1,74462,63067482,26723163,513976
201,2,1,1,1,1,1,73660,64537340,25624833,535360
202,2,1,1,1,1,1,70524,63332110,24992902,526529
203,2,1,1,1,1,1,60667,57078360,21583104,446338
204,2,1,1,1,1,1,62620,41715378,21740549,470026
205,2,1,1,1,1,1,69907,47921844,24382326,522521
206,2,1,1,1,1,1,77053,52273010,26552733,570633
207,2,1,1,1,1,1,75667,51640548,26239009,571028
208,2,1,1,1,1,1,83946,50875992,29503333,638323
209,2,1,1,1,1,1,71946,49238340,25782565,508495
210,2,1,1,1,1,1,82556,55112392,29044387,570826
211,2,1,1,1,1,1,83585,53957328,29351855,565203
212,2,1,1,1,1,1,76227,50852086,26711212,522086
213,2,1,1,1,1,1,94914,57425898,28021158,642306
214,2,1,1,1,1,1,71851,44961528,24848044,497168
215,2,1,1,1,1,1,80217,50902064,27487277,552888
216,2,1,1,1,1,1,66069,38888078,22210105,438830
217,2,1,1,1,1,1,78083,50850700,27180708,560515
218,2,1,1,1,1,1,56951,36435336,20028579,404999
219,2,1,1,1,1,1,67310,44149516,23606286,465835
220,2,1,1,1,1,1,60727,37565778,20804887,425948
221,2,1,1,1,1,1,71254,44886998,24684291,497237
222,2,1,1,1,1,1,46303,27752102,16304084,321853
223,2,1,1,1,1,1,60726,38611326,21277523,432142
224,2,1,1,1,1,1,60108,38050790,21277901,415088
225,2,1,1,1,1,1,55969,34348136,19410414,385289
226,2,1,1,1,1,1,65336,39137468,22982659,446885
227,2,1,1,1,1,1,49926,30517790,16929809,333556
228,2,1,1,1,1,1,51197,35107920,17388095,318526
229,2,1,1,1,1,1,69646,46947014,23759591,438351
230,2,1,1,1,1,1,71002,48740506,23764804,456982
231,2,1,1,1,1,1,70184,46701576,23758085,451004
232,2,1,1,1,1,1,57110,38857166,19560089,379133
233,2,1,1,1,1,1,79199,69097168,27174508,517177
234,2,1,1,1,1,1,81281,73371398,28266688,527097
235,2,1,1,1,1,1,63599,58113016,22201103,405541
236,2,1,1,1,1,1,69097,60109550,24070455,443412
237,2,1,1,1,1,1,69830,59835318,23752488,440506
238,2,1,1,1,1,1,67281,43531426,22209536,426097
239,2,1,1,1,1,1,82762,53960508,28269209,511111
240,2,1,1,1,1,1,60593,35394130,20499911,375183
241,2,1,1,1,1,1,59916,37426446,20652079,387350
242,2,1,1,1,1,1,53829,37627176,18324668,349252
243,2,1,1,1,1,1,68552,44797134,20970372,468448
244,2,1,1,1,1,1,57877,36795592,20186934,378355
245,2,1,1,1,1,1,60912,37969664,21113904,408717
246,2,1,1,1,1,1,78767,47303532,26702481,517146
247,2,1,1,1,1,1,58145,36757420,20496092,398391
248,2,1,1,1,1,1,82370,49693016,27938335,539603
249,2,1,1,1,1,1,100502,64101324,34464995,701409
250,2,1,1,1,1,1,71008,44784604,24065950,453246
251,2,1,1,1,1,1,62634,39203076,21109812,414296
252,2,1,1,1,1,1,56221,36637932,19252039,390748
253,2,1,1,1,1,1,59271,36821024,20801365,397064
254,2,1,1,1,1,1,70676,44607946,24839675,474687
255,2,1,1,1,1,1,58926,37205038,20647233,398264
256,2,1,1,1,1,1,71213,55361396,25305912,524007
257,2,1,1,1,1,1,63498,39420284,21736666,459089
258,2,1,1,1,1,1,85233,50954186,28887099,619890
259,2,1,1,1,1,1,74185,45365078,25316547,537314
260,2,1,1,1,1,1,65490,41976836,22985213,496805
261,2,1,1,1,1,1,64152,27112890,15367830,301069
262,2,1,1,1,1,1,114469,47882426,26711815,526078
263,2,1,1,1,1,1,124230,52734160,29509161,594755
264,2,1,1,1,1,1,86498,39869722,20655368,420176
265,2,1,1,1,1,1,85450,38643824,20343810,411791
266,2,1,1,1,1,1,74058,33783326,15327730,350664
267,2,1,1,1,1,1,70044,35415660,16770850,322175
268,2,1,1,1,1,1,94070,46703308,22519888,438272
269,2,1,1,1,1,1,73488,32269988,17860835,360314
270,2,1,1,1,1,1,69484,30370280,16777153,334327
271,2,1,1,1,1,1,64723,31146518,15999730,323267
272,2,1,1,1,1,1,56366,27048118,13981572,274732
273,2,1,1,1,1,1,74021,40242024,17395133,324621
274,2,1,1,1,1,1,70880,42713940,16617216,192354
275,2,1,1,1,1,1,76720,41180144,18017436,349430
276,2,1,1,1,1,1,60987,34912776,14592841,276354
277,2,1,1,1,1,1,66099,36865416,16149744,301303
278,2,1,1,1,1,1,64838,42214478,15529900,290006
279,2,1,1,1,1,1,83655,50522680,20034523,374695
