sequence,obstacles,lux,has_video,required_files
3,1,100,1,dataset/3/optitrack.csv;dataset/3/imu.csv;dataset/3/radar.csv;dataset/3/3.avi
10,1,100,1,dataset/10/optitrack.csv;dataset/10/imu.csv;dataset/10/radar.csv;dataset/10/10.avi
1,1,100,1,dataset/1/optitrack.csv;dataset/1/imu.csv;dataset/1/radar.csv;dataset/1/1.avi
2,1,100,1,dataset/2/optitrack.csv;dataset/2/imu.csv;dataset/2/radar.csv;dataset/2/2.avi
4,1,100,1,dataset/4/optitrack.csv;dataset/4/imu.csv;dataset/4/radar.csv;dataset/4/4.avi
5,1,100,1,dataset/5/optitrack.csv;dataset/5/imu.csv;dataset/5/radar.csv;dataset/5/5.avi
6,1,100,1,dataset/6/optitrack.csv;dataset/6/imu.csv;dataset/6/radar.csv;dataset/6/6.avi
7,1,100,1,dataset/7/optitrack.csv;dataset/7/imu.csv;dataset/7/radar.csv;dataset/7/7.avi
8,1,100,1,dataset/8/optitrack.csv;dataset/8/imu.csv;dataset/8/radar.csv;dataset/8/8.avi
9,1,100,1,dataset/9/optitrack.csv;dataset/9/imu.csv;dataset/9/radar.csv;dataset/9/9.avi
11,1,100,1,dataset/11/optitrack.csv;dataset/11/imu.csv;dataset/11/radar.csv;dataset/11/11.avi
12,1,100,1,dataset/12/optitrack.csv;dataset/12/imu.csv;dataset/12/radar.csv;dataset/12/12.avi
13,1,100,1,dataset/13/optitrack.csv;dataset/13/imu.csv;dataset/13/radar.csv;dataset/13/13.avi
14,1,100,1,dataset/14/optitrack.csv;dataset/14/imu.csv;dataset/14/radar.csv;dataset/14/14.avi
15,1,100,1,dataset/15/optitrack.csv;dataset/15/imu.csv;dataset/15/radar.csv;dataset/15/15.avi
16,1,100,1,dataset/16/optitrack.csv;dataset/16/imu.csv;dataset/16/radar.csv;dataset/16/16.avi
17,1,100,1,dataset/17/optitrack.csv;dataset/17/imu.csv;dataset/17/radar.csv;dataset/17/17.avi
18,1,100,1,dataset/18/optitrack.csv;dataset/18/imu.csv;dataset/18/radar.csv;dataset/18/18.avi
19,1,100,1,dataset/19/optitrack.csv;dataset/19/imu.csv;dataset/19/radar.csv;dataset/19/19.avi
20,1,100,1,dataset/20/optitrack.csv;dataset/20/imu.csv;dataset/20/radar.csv;dataset/20/20.avi
21,1,100,1,dataset/21/optitrack.csv;dataset/21/imu.csv;dataset/21/radar.csv;dataset/21/21.avi
22,1,100,1,dataset/22/optitrack.csv;dataset/22/imu.csv;dataset/22/radar.csv;dataset/22/22.avi
23,1,100,1,dataset/23/optitrack.csv;dataset/23/imu.csv;dataset/23/radar.csv;dataset/23/23.avi
24,1,100,1,dataset/24/optitrack.csv;dataset/24/imu.csv;dataset/24/radar.csv;dataset/24/24.avi
25,1,100,1,dataset/25/optitrack.csv;dataset/25/imu.csv;dataset/25/radar.csv;dataset/25/25.avi
26,1,100,1,dataset/26/optitrack.csv;dataset/26/imu.csv;dataset/26/radar.csv;dataset/26/26.avi
27,1,100,1,dataset/27/optitrack.csv;dataset/27/imu.csv;dataset/27/radar.csv;dataset/27/27.avi
28,1,100,1,dataset/28/optitrack.csv;dataset/28/imu.csv;dataset/28/radar.csv;dataset/28/28.avi
29,1,100,1,dataset/29/optitrack.csv;dataset/29/imu.csv;dataset/29/radar.csv;dataset/29/29.avi
30,1,100,1,dataset/30/optitrack.csv;dataset/30/imu.csv;dataset/30/radar.csv;dataset/30/30.avi
31,1,100,1,dataset/31/optitrack.csv;dataset/31/imu.csv;dataset/31/radar.csv;dataset/31/31.avi
32,1,100,1,dataset/32/optitrack.csv;dataset/32/imu.csv;dataset/32/radar.csv;dataset/32/32.avi
33,1,100,1,dataset/33/optitrack.csv;dataset/33/imu.csv;dataset/33/radar.csv;dataset/33/33.avi
34,1,100,1,dataset/34/optitrack.csv;dataset/34/imu.csv;dataset/34/radar.csv;dataset/34/34.avi
35,1,100,1,dataset/35/optitrack.csv;dataset/35/imu.csv;dataset/35/radar.csv;dataset/35/35.avi
36,1,100,1,dataset/36/optitrack.csv;dataset/36/imu.csv;dataset/36/radar.csv;dataset/36/36.avi
37,1,100,1,dataset/37/optitrack.csv;dataset/37/imu.csv;dataset/37/radar.csv;dataset/37/37.avi
38,1,100,1,dataset/38/optitrack.csv;dataset/38/imu.csv;dataset/38/radar.csv;dataset/38/38.avi
39,1,100,1,dataset/39/optitrack.csv;dataset/39/imu.csv;dataset/39/radar.csv;dataset/39/39.avi
40,1,100,1,dataset/40/optitrack.csv;dataset/40/imu.csv;dataset/40/radar.csv;dataset/40/40.avi
41,1,100,1,dataset/41/optitrack.csv;dataset/41/imu.csv;dataset/41/radar.csv;dataset/41/41.avi
42,1,100,1,dataset/42/optitrack.csv;dataset/42/imu.csv;dataset/42/radar.csv;dataset/42/42.avi
43,1,100,1,dataset/43/optitrack.csv;dataset/43/imu.csv;dataset/43/radar.csv;dataset/43/43.avi
44,1,100,1,dataset/44/optitrack.csv;dataset/44/imu.csv;dataset/44/radar.csv;dataset/44/44.avi
45,1,100,1,dataset/45/optitrack.csv;dataset/45/imu.csv;dataset/45/radar.csv;dataset/45/45.avi
46,1,100,1,dataset/46/optitrack.csv;dataset/46/imu.csv;dataset/46/radar.csv;dataset/46/46.avi
47,1,100,1,dataset/47/optitrack.csv;dataset/47/imu.csv;dataset/47/radar.csv;dataset/47/47.avi
48,1,100,1,dataset/48/optitrack.csv;dataset/48/imu.csv;dataset/48/radar.csv;dataset/48/48.avi
49,1,100,1,dataset/49/optitrack.csv;dataset/49/imu.csv;dataset/49/radar.csv;dataset/49/49.avi
50,1,100,1,dataset/50/optitrack.csv;dataset/50/imu.csv;dataset/50/radar.csv;dataset/50/50.avi
345,2,100,1,dataset/345/optitrack.csv;dataset/345/imu.csv;dataset/345/radar.csv;dataset/345/345.avi
184,2,100,1,dataset/184/optitrack.csv;dataset/184/imu.csv;dataset/184/radar.csv;dataset/184/184.avi
185,2,100,1,dataset/185/optitrack.csv;dataset/185/imu.csv;dataset/185/radar.csv;dataset/185/185.avi
186,2,100,1,dataset/186/optitrack.csv;dataset/186/imu.csv;dataset/186/radar.csv;dataset/186/186.avi
187,2,100,1,dataset/187/optitrack.csv;dataset/187/imu.csv;dataset/187/radar.csv;dataset/187/187.avi
188,2,100,1,dataset/188/optitrack.csv;dataset/188/imu.csv;dataset/188/radar.csv;dataset/188/188.avi
189,2,100,1,dataset/189/optitrack.csv;dataset/189/imu.csv;dataset/189/radar.csv;dataset/189/189.avi
190,2,100,1,dataset/190/optitrack.csv;dataset/190/imu.csv;dataset/190/radar.csv;dataset/190/190.avi
191,2,100,1,dataset/191/optitrack.csv;dataset/191/imu.csv;dataset/191/radar.csv;dataset/191/191.avi
192,2,100,1,dataset/192/optitrack.csv;dataset/192/imu.csv;dataset/192/radar.csv;dataset/192/192.avi
193,2,100,1,dataset/193/optitrack.csv;dataset/193/imu.csv;dataset/193/radar.csv;dataset/193/193.avi
194,2,100,1,dataset/194/optitrack.csv;dataset/194/imu.csv;dataset/194/radar.csv;dataset/194/194.avi
195,2,100,1,dataset/195/optitrack.csv;dataset/195/imu.csv;dataset/195/radar.csv;dataset/195/195.avi
196,2,100,1,dataset/196/optitrack.csv;dataset/196/imu.csv;dataset/196/radar.csv;dataset/196/196.avi
197,2,100,1,dataset/197/optitrack.csv;dataset/197/imu.csv;dataset/197/radar.csv;dataset/197/197.avi
198,2,100,1,dataset/198/optitrack.csv;dataset/198/imu.csv;dataset/198/radar.csv;dataset/198/198.avi
199,2,100,1,dataset/199/optitrack.csv;dataset/199/imu.csv;dataset/199/radar.csv;dataset/199/199.avi
201,2,100,1,dataset/201/optitrack.csv;dataset/201/imu.csv;dataset/201/radar.csv;dataset/201/201.avi
202,2,100,1,dataset/202/optitrack.csv;dataset/202/imu.csv;dataset/202/radar.csv;dataset/202/202.avi
203,2,100,1,dataset/203/optitrack.csv;dataset/203/imu.csv;dataset/203/radar.csv;dataset/203/203.avi
204,2,100,1,dataset/204/optitrack.csv;dataset/204/imu.csv;dataset/204/radar.csv;dataset/204/204.avi
205,2,100,1,dataset/205/optitrack.csv;dataset/205/imu.csv;dataset/205/radar.csv;dataset/205/205.avi
206,2,100,1,dataset/206/optitrack.csv;dataset/206/imu.csv;dataset/206/radar.csv;dataset/206/206.avi
207,2,100,1,dataset/207/optitrack.csv;dataset/207/imu.csv;dataset/207/radar.csv;dataset/207/207.avi
208,2,100,1,dataset/208/optitrack.csv;dataset/208/imu.csv;dataset/208/radar.csv;dataset/208/208.avi
209,2,100,1,dataset/209/optitrack.csv;dataset/209/imu.csv;dataset/209/radar.csv;dataset/209/209.avi
